Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
07/07/11,Rushil Decor,40.64,0.23,1.35,6.57,2.62,72.0,45.12
13/07/11,Kridhan Infra,34.75,0.03,1.37,4.18,1.68,108.0,-87.69
28/07/11,Bharatiya Glob,55.1,0.0,1.94,5.06,2.06,82.0,-62.26
04/08/11,Inventure Grow,81.9,0.25,9.49,8.66,4.58,117.0,-95.56
12/08/11,L&T Finance,1245.0,1.93,6.18,9.61,5.34,52.0,-10.65
26/08/11,Tree House,112.06,1.02,1.68,2.76,1.85,135.0,-13.67
05/09/11,Brooks Labs,63.0,0.0,2.82,3.36,1.6,100.0,-49.8
08/09/11,TD Power System,227.0,6.52,0.32,0.36,2.72,256.0,-78.53
16/09/11,SRS,227.5,0.74,5.0,0.29,1.22,58.0,-70.98
26/09/11,PG Electroplast,120.65,0.98,1.84,1.64,1.34,210.0,96.02
04/10/11,Setubandhan Inf,60.0,0.31,2.76,4.68,2.21,138.0,-83.37
17/10/11,Onelife Capital,36.85,1.02,0.93,2.32,1.51,110.0,32.64
19/10/11,Taksheel Solut,82.5,0.24,4.7,6.18,2.99,150.0,-61.23
19/10/11,Flexituff Ventu,104.63,0.51,1.55,1.55,1.03,155.0,7.35
20/10/11,Ujaas Energy,93.0,1.03,1.56,2.35,1.57,186.0,-82.92
24/10/11,Vaswani Ind,49.0,0.16,11.29,6.82,4.16,49.0,-63.78
02/11/11,Indo Thai Secu,33.6,0.0,0.02,3.31,1.16,74.0,-68.92
09/03/12,MCX India,663.31,49.12,150.35,24.14,54.13,1032.0,25.68
28/03/12,Olympic Cards,25.0,0.0,3.43,1.36,0.99,30.0,-5.0
12/04/12,NBCC (India),127.2,7.07,1.7,3.4,4.93,106.0,-93.9
12/04/12,MT Educare,99.0,6.01,8.0,2.17,4.8,80.0,12.94
09/05/12,Tribhovandas,210.0,1.29,1.91,0.68,1.15,120.0,-7.33
30/05/12,Speciality Rest,181.96,4.68,2.19,0.55,2.54,150.0,7.1
18/07/12,VKS Projects,55.0,1.15,0.38,1.13,1.03,55.0,-97.15
06/12/12,Tara Jewels,0.0,1.49,3.1,2.05,1.98,230.0,-0.02
26/12/12,CARE Ratings,539.98,45.8,110.96,6.18,40.98,750.0,23.19
27/12/12,PC Jeweller,609.3,7.33,18.12,1.68,6.85,135.0,-44.81
28/12/12,INDUS TOWERS,4533.6,2.84,0.1,0.06,1.21,220.0,-13.09
01/04/13,Repco Home,270.38,3.39,0.35,0.51,1.65,172.0,-6.48
