Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
26/09/22,Harsha Engineer,755.0,113.82,40.36,12.44,47.19,330.0,47.24
17/10/22,Electronics Mar,500.0,58.81,15.39,8.27,24.23,59.0,43.14
29/12/23,Innova Captab,570.0,116.7,65.0,17.1,55.3,448.0,0.9
28/12/23,Azad Engineering,740.0,179.7,87.6,23.8,80.7,524.0,37.4
27/12/23,RBZ Jewellers,100.0,13.4,9.3,24.7,16.9,100.0,0.0
27/12/23,Credo Brands,549.8,105.0,55.5,19.9,51.9,280.0,0.8
27/12/23,Happy Forgings,1008.6,220.5,62.2,15.1,82.0,850.0,17.6
26/12/23,Motisons Jewellers,151.1,157.4,233.9,122.3,159.6,55.0,98.2
26/12/23,Muthoot Microfin,960.0,17.5,13.2,7.6,11.5,291.0,-5.4
26/12/23,Suraj Estate,400.0,24.3,18.9,9.3,15.7,360.0,-5.6
21/12/23,Inox,1459.3,147.8,53.2,15.3,61.3,660.0,43.9
20/12/23,India Shelter Finance,1200.0,89.7,28.5,9.9,36.7,493.0,25.8
20/12/23,DOMS Industries,1200.0,116.0,66.5,69.7,93.5,790.0,77.2
01/12/23,Flair Writing,593.0,115.6,33.4,13.0,46.7,304.0,64.8
30/11/23,Gandhar Oil Refinery,500.7,129.0,62.2,28.9,64.1,169.0,76.3
30/11/23,Tata Technologies,3042.5,203.4,62.1,16.5,69.4,500.0,140.0
30/11/23,Fedbank Financial,1092.3,3.5,1.4,1.8,2.2,140.0,-1.4
29/11/23,Indian Renewable,2150.2,104.6,24.2,7.7,38.8,32.0,56.3
15/11/23,ASK Automotive,833.9,142.4,35.5,5.7,51.1,282.0,7.5
13/11/23,Protean eGov Tech,490.3,46.9,31.6,8.9,23.9,792.0,0.0
10/11/23,ESAF Small Finance,463.0,173.5,84.4,17.0,73.2,60.0,18.3
07/11/23,Honasa Consumer,1701.4,11.5,4.0,1.4,7.6,324.0,1.9
06/11/23,Cello World,1900.0,108.6,24.4,3.1,38.9,648.0,27.9
01/11/23,Blue Jet Healthcare,840.3,13.7,13.6,2.2,8.0,346.0,9.8
26/10/23,IRM Energy,545.4,44.7,48.3,9.3,27.1,505.0,-5.5
12/10/23,Plaza Wires,71.3,42.8,388.1,374.8,161.0,54.0,40.7
06/10/23,Valiant Laboratories,152.5,20.8,73.6,16.1,29.8,140.0,15.8
31/12/24,Unimech Aerospace,500.0,317.6,263.8,56.7,175.3,785.0,86.0
30/12/24,Senores Pharmaceuticals,582.1,94.7,96.1,89.2,93.4,391.0,53.5
30/12/24,Carraro India,1250.0,2.2,0.6,0.7,1.1,704.0,-7.5
30/12/24,Ventive Hospitality,1600.0,9.1,13.8,5.9,9.8,643.0,11.3
27/12/24,Concord Enviro Systems,500.3,17.3,14.2,5.6,10.7,701.0,17.8
27/12/24,Transrail Lighting,838.9,201.1,76.4,22.1,80.8,432.0,36.6
27/12/24,Sanathan Textiles,550.0,75.6,42.2,8.9,35.1,321.0,31.6
27/12/24,Mamata Machinery,179.4,235.9,274.4,138.1,194.9,243.0,146.9
27/12/24,Dam Capital Advisors,840.3,166.3,98.6,27.1,82.1,283.0,38.9
20/12/24,International Gemmological Institute,4225.0,45.8,24.8,11.2,33.8,417.0,22.3
19/12/24,Inventurus Knowledge Solutions,2497.9,80.6,23.3,14.6,52.7,1329.0,43.0
18/12/24,One MobiKwik Systems,572.0,119.5,109.0,134.7,119.4,279.0,57.7
18/12/24,Sai Life Sciences,3042.6,30.9,4.9,1.4,10.3,549.0,18.4
18/12/24,Vishal Mega Mart,8000.0,80.8,14.2,2.3,27.3,78.0,33.3
06/12/24,Suraksha Diagnostic,846.3,1.7,1.4,0.9,1.3,441.0,-0.7
29/11/24,Enviro Infra Engineers,650.4,157.1,153.8,24.5,89.9,148.0,48.6
27/11/24,NTPC Green Energy,10000.0,3.3,0.8,3.4,2.4,108.0,3.2
22/11/24,Zinka Logistics Solutions,1114.7,2.8,0.2,1.7,1.9,273.0,2.9
14/11/24,Niva Bupa Health Insurance,2200.0,2.1,0.7,2.7,1.8,74.0,5.6
13/11/24,ACME Solar Holdings,2900.0,3.5,1.0,3.1,2.8,289.0,-13.2
13/11/24,Swiggy,11327.4,6.0,0.4,1.1,3.6,390.0,7.7
12/11/24,Sagility India,2106.6,3.5,1.9,4.2,3.2,30.0,3.5
04/11/24,Afcons Infrastructure,5430.0,3.8,5.0,0.9,2.6,463.0,-8.0
30/10/24,Godavari Biorefineries,554.8,2.8,0.9,1.7,1.8,352.0,-12.5
28/10/24,Waaree Energies,4321.4,208.6,62.5,10.8,76.3,1503.0,66.3
30/12/25,Gujarat Kidney and Super,250.8,1.1,5.7,19.0,5.2,114.0,5.3
23/12/25,KSH International,644.5,1.1,0.4,0.9,0.8,384.0,-3.6
19/12/25,ICICI Prudential Asset,10602.6,123.9,22.0,2.5,39.2,2165.0,20.1
17/12/25,Park Medi World,920.0,11.5,15.2,3.2,8.1,162.0,-2.0
17/12/25,Nephrocare Health Services,871.0,27.5,24.3,2.3,14.0,460.0,6.5
15/12/25,Corona Remedies,655.4,278.5,208.9,28.7,137.0,1062.0,38.4
15/12/25,Wakefit Innovations,1288.9,3.0,1.1,3.2,2.5,195.0,0.0
10/12/25,Vidya Wires,300.0,5.1,52.0,27.9,26.6,52.0,0.0
10/12/25,Aequs,921.8,120.9,80.6,78.0,101.6,124.0,12.9
10/12/25,Meesho,5421.2,120.2,38.2,19.1,79.0,111.0,46.4
28/11/25,Sudeep Pharma,895.0,213.1,116.7,15.7,93.7,593.0,23.1
26/11/25,Excelsoft Technologies,500.0,47.5,101.7,15.6,43.2,120.0,12.5
21/11/25,Capillary Technologies,877.5,57.3,69.8,15.8,53.0,577.0,-0.9
20/11/25,Fujiyama Power Systems,828.0,5.2,0.9,1.0,2.1,228.0,-3.5
19/11/25,Tenneco Clean Air,3600.0,166.4,40.7,5.1,58.8,397.0,27.2
18/11/25,EMMVEE Photovoltaic Power,2900.0,1.3,0.3,1.1,1.0,217.0,0.0
18/11/25,Physicswallah,3480.0,2.7,0.5,1.1,1.8,109.0,33.0
14/11/25,Pine Labs,3899.9,4.0,0.3,1.2,2.5,221.0,9.5
12/11/25,Billionbrains Garage Ventures,6632.3,22.0,14.2,9.4,17.6,100.0,12.0
10/11/25,Lenskart Solutions,7278.0,40.4,18.2,7.5,28.3,402.0,-1.7
07/11/25,Studds Accessories,455.5,160.0,77.0,22.1,73.3,585.0,-3.4
06/11/25,Orkla,1667.5,117.6,54.4,7.0,48.7,730.0,2.8
24/10/25,Midwest,451.0,139.9,168.1,24.3,87.9,1065.0,9.4
17/10/25,Canara HSBC Life Insurance,2517.5,7.0,0.3,0.4,2.3,106.0,0.0
16/10/25,Rubicon Research,1377.5,130.3,97.6,35.5,103.9,485.0,27.8
